,placetitle,types,address,image
0,마니마니전대상대점,양식,북구 설죽로202번길 100,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_165%2F1548777372987TJ0dP_JPEG%2F5-_7TqquQRH16gmf3QrVZnB4.jpg
1,피자스쿨 광주전대상대점,피자,북구 반룡로 25 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_99%2F1586015464813Aoipz_JPEG%2F2fjK8subE_QGIzIFz2um3jLh.jpeg.jpg
2,국수나무 광주전대상대점,국수,북구 반룡로27번길 7,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200325_20%2F1585105259015lNqQk_JPEG%2F3h_w69dUeEKiz6bwi8TyLKgY.jpg
3,얌얌 전대상대점,종합분식,북구 설죽로214번길 115,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190605_284%2F15597176652639wlkz_JPEG%2FfCBCFkbzelQyqXlb3fdkWipo.jpg
4,놀부부대찌개 전대상대점,"찌개,전골",북구 설죽로202번길 72,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_111%2F1548775754623S4TPQ_JPEG%2Fi_5bijWazFHvL35aeXn4eu0M.jpg
5,썬더치킨 상대점,"치킨,닭강정",북구 설죽로202번길 36,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_144%2F1548776797850w2sS4_JPEG%2FZTaakmtdTWmghtCJIRyUf_Dp.jpg
6,마라푸우 상대점,중식당,북구 설죽로202번길 90 (용봉동),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_144%2F1548776797850w2sS4_JPEG%2FZTaakmtdTWmghtCJIRyUf_Dp.jpg
7,용천통닭 전대상대점,"치킨,닭강정",북구 반룡로28번길 29,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210801_143%2F1627805309954jfn2R_JPEG%2FN9JAWHQpQPFzAkKWf3RQbn0O.jpg
8,봉구스밥버거 전남대상대점,분식,북구 설죽로214번길 98,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_152%2F1548777434548WG8Ed_JPEG%2F4GrXFP-i1zoKunZPnhcSrVk5.jpg
9,줄벼락 전남대학교 상대점,한식,북구 설죽로214번길 70-6,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_152%2F1548777434548WG8Ed_JPEG%2F4GrXFP-i1zoKunZPnhcSrVk5.jpg
