placetitle,types,rate,address,image
고수닭갈비전남대점,닭갈비,4.47,광주 북구 면앙로6번길 78,https://search.pstatic.net/common/?src=http%3A%2F%2Fimage.nmv.naver.net%2Fblog_2022_12_09_3003%2Ffb89deb7-7757-11ed-a645-505dacfbaa5c_01.jpg
골목대장,한식,4.7,광주 북구 호동로 9-10,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMjNfMjM1%2FMDAxNjc5NTgyMjUyMzA2.kxVqyZU6nl3krgwv-_PXtsb70h14ZiyiPlt6CqvrS7Ug.AgKHEKKP6gor9tZvuN5euIU5AE0ArNdIfl74xoTmKRMg.JPEG.kammi79%2F20230316%25A3%25DF120444.jpg
광저우88,중식당,4.36,북구 호동로43번길 37 2층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190227_46%2F1551264067146sY0ve_JPEG%2FpQcforppQAu6pGrblMEQJEzA.jpg
길성유부,종합분식,4.47,광주 북구 우치로126번길 8 1층 길성유부,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201119_92%2F1605797107989dlPoK_JPEG%2F2jDgdaC1lYyGHU5mYVmC_Aye.jpg
냉면&숯불고기 전문점 줄벼락 전대후문점,한식, ,광주 북구 호동로 15-2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200201_189%2F1580548568100qyMli_JPEG%2FJkzIFVefRuJBGgUkq0_e8kOm.jpeg.jpg
너랑나랑&비아돼지찌개,종합분식,4.38,북구 호동로 9 1층 너랑나랑,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230509_263%2F1683602988481p8Yz4_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF892219_201902011600.jpg
담양숯불갈비돈앤돈구이,육류, ,북구 호동로 10 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211204_27%2F16385923947934ov7F_JPEG%2F20211118_135626.jpg
돼지고기듬뿍넣은김치찌개,한식,4.46,북구 호동로 4-7,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230317_238%2F1679031281720I4hos_JPEG%2F16790312687866778063467252143732.jpg
라멘 키노리,일식당, ,북구 호동로 9-1 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230110_73%2F16733166306062hV2l_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg
라스타 전남대점,한식,4.74,북구 우치로90번길 19 2층(용봉동),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160707_238%2F14678468753020h4Je_JPEG%2F176657484454526_0.jpeg
라즈인도요리전남대,인도요리,4.67,광주 북구 호동로 9-7,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA0MjNfNDEg%2FMDAxNjgyMjIxNTgwNTE4.bSMoxtSSlVR7kVSkwIkCP5ywl_B_gyaqnAQRKCLW3q0g.jClFzt3VC53d97HmahrC37g4RLmdHdH8Ter18XlWQ9Ag.JPEG%2F20230423_121315.jpg
라쿵푸마라탕 전남대점,중식당,4.81,광주 북구 우치로90번길 8-4 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20220309_221%2F1646794707824B4tPa_JPEG%2Fupload_270d6557f7f18cb6a347238772176512.jpeg
롤링파스타 광주전남대점,이탈리아음식,4.58,광주 북구 우치로 94 2층,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA0MTRfMjI0%2FMDAxNjgxNDY1NzkzNzc5.EftucAZuW23X8MJoySYszHjFdXG9kwlzhhDHDISY4QMg.XjHsy6eyShVqEB9h-3oj0pT2jM6fSNKfdkCbreenp7wg.JPEG.jpd0314%2F13530063-5B8B-454C-BF50-EC049B4E2A17.jpeg
마카나이 전대점,일식당,4.39,광주 북구 우치로90번길 15,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMDZfNjkg%2FMDAxNjY1MDU0MDI2NjU1._s8Csk2OxLXLvRwmdKoQI13L3DAGgfQd7AzEReVjj80g.k2a8QJjpmrJgTKwkbDgxsV3Rm8MxDrT3o7-Tzuf_pl0g.JPEG.rlasnfl007%2Foutput_51277858.jpg
미스터초밥왕전대점,초밥,4.56,광주 북구 우치로100번길 10-6,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAxMjRfMjQ3%2FMDAxNjc0NTY4NzY5NzI5.gN61stUsKgrJG1RKqiHZNUls3wQpBKlpUMNezDXCEtgg.v-l2ure05Uc_hBqi68UufGmySOnUNiSJq5nDhWIVnOIg.JPEG%2F20230124_225637.jpg
박준기감자탕 전대본점,감자탕, ,북구 반룡로28번길 11,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181111_247%2F15419226434946i0Hg_JPEG%2F3bO7P78-VtSdY0J6eR5uhXT1.jpg
버거킹 전남대후문점,햄버거,4.53,북구 우치로 76,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191008_234%2F1570467415198aylmT_JPEG%2FGYtHBwh8mbA9ViR_qxQJfSjd.jpg
보물섬 전대후문점,일식당, ,북구 우치로90번길 22 (용봉동),https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220906_299%2F1662463528511g6sqc_JPEG%2F1662463498511.jpg
본죽 광주전남대후문점,죽,4.31,북구 우치로 80 용봉빌딩 101호,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230424_231%2F1682294724468mKCrJ_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6-%25B8%25AE%25BA%25E4-%25C0%25CC%25BA%25A5%25C6%25AE-%25BF%25C2%25B6%25F3%25C0%25CE-%25B3%25D7%25C0%25CC%25B9%25F6%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg
봉구스밥버거 전남대후문점,분식,4.53,북구 우치로 86 1층,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA2MTJfMTM2%2FMDAxNjIzNDgxMDc1MjQ5.nm3TkBpam0SruvJ_KiIrZc0loSPmCJBStP_Sg39sv5sg.u2KkTfagwKclnKrGLM4UYMPhtsZaCOV6VjWnkiSA-rYg.JPEG.azapeace%2FIMG_3333.jpg
뼈대있는집 전남대점,감자탕,4.36,광주 북구 호동로 28 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MTVfMTY2%2FMDAxNjg0MTUxMTc0MjAz.wPgRSt_1Kl4fBsMs4cxHjoU515BP5Eku29NT6pnBRxsg.x6uAiGzjCJmZOWGi1aWeQkGt_Ma-KjcsWCIGKY7ETqcg.JPEG%2FScreenshot_20230515-204138_Gallery.jpg
샤브향 전대점,샤브샤브,4.55,광주 북구 우치로100번길 15,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA0MjJfMjAg%2FMDAxNjgyMTY0ODAzODQ2.dzjkycMd9v-j9l55gH5qllaxGyiCwM-k1slGR8vWUWQg.7oFzElT0aos786XvwOFh1YL46K-z6IECJEYBKyJN3oQg.JPEG%2FA3B898AE-1FF8-4BD4-BD55-8480F5C9C2DC.jpg
소바키 전대점,일식당, ,북구 서방로 1-8 1층 소바키,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221204_113%2F16701411542425Efeu_JPEG%2F1670141117067.jpg
소코아 전대점,카레, ,광주 북구 서방로 3 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220916_284%2F1663293976965QgkMd_JPEG%2F3%2528new%2529.jpg
쉐프공방,스파게티,4.58,북구 우치로 96,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211207_262%2F1638851013320Clnoe_JPEG%2FKakaoTalk_20211204_133552013.jpg
스페샬나잇트 전대후문점,일식당, ,북구 호동로15번길 26-1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221111_296%2F1668141401590EMA52_JPEG%2Fphoto_2022-11-11_10-05-45.jpg
스피드 반점,중식당,4.44,광주 북구 우치로 126,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAyMTlfNzYg%2FMDAxNjc2ODA2MjM5NDIz.LdGRM94ICDofcgiwMvUJfZ_Hf6Y23X9NCY5AhU94j1Eg.bg4VdvGfzi_vKm7aMjVcpsii4kanVHxoJZnjc04d0Qsg.JPEG.min15133%2FKakaoTalk_20230219_201705036_05.jpg
